id,title,creator,date,description,category,address,latitude,longitude,source,image,imageAttribution,imageAltText
marker_6,Bryn Mawr College,"Ameer, Isbah",1885,In 1823 women industrial workers who were members of the YWCA were sent to Summer School for Industrial Workers in Bryn Mawr,Other,"140 Morris Ave, Bryn Mawr, PA 19010",40.02428497,-75.3139829,https://digitalcollections.tricolib.brynmawr.edu/collections/summer-school-women-workers-industry,,,
marker_10,Church of the Brethren,"Ameer, Isbah",1723,In 1969 housed the table on which the first protest in America against slavery was signed in 1688.,Other,"6601 Germantown Ave, Philadelphia, PA 19119",40.04966955,-75.18388431,Carner,,,
marker_12,Germantown Branch of the Free Library,"Ameer, Isbah",1907-1978,One of the 25 branches of the Free Library built from 1904 to 1930 from a $1.5 million grant from the Carnegie Corporation.,Other,"5710 Germantown, Philadelphia, PA 19144",40.03573742,-75.1764913,https://www.loc.gov/item/pa4070/,,,
marker_14,Center in the Park,"Ameer, Isbah",1986-present,"Previously the site of the Free Library of Philadelphia, Germantown Branch. The building has been used as a senior citizens center by the non-profit Center in the Park since 1986.",Other,"5801-5827 Germantown Ave, Philadelphia, PA 19144",40.03695238,-75.17577428,https://www.loc.gov/item/pa4070/,,,
marker_16,St. Vincent's Roman Catholic Church,"Ameer, Isbah",1851,TBD,Other,"101 E Price St, Philadelphia, PA 19144",40.03793922,-75.17441109,Carner,,,
marker_19,Vernon Park,"Ameer, Isbah",tbd,"Vernon Park is host to monuments commemorating the Battle of Germantown, the battle was faught nearby in 1777. The Founders’ Monument is inscribed with the first documented protest against slavery in Philadelphia. The Center in the Park is also located in Vernon Park.",Other,"5800 Germantown Ave, Philadelphia, PA 19144",40.03689272,-75.17584048,https://friendsofvernonpark.org/about/,,,
marker_20,Germantown Friends Meeting,"Ameer, Isbah",1693,TBD,Other,"47 W Coulter St, Philadelphia, PA 19144",40.03230676,-75.1719817,Carner,,,
marker_21,Germantown Unitarian,"Ameer, Isbah",1867,TBD,Other,"6511 Lincoln Dr, Philadelphia, PA 19119",40.0402388,-75.19152905,Carner,,,
marker_22,St. Lukes' Episcopal,"Ameer, Isbah",1811,TBD,Other,"5427 Germantown Ave, Philadelphia, PA 19144",40.03381523,-75.17096381,Carner,,,
marker_1,Falls of Schuykill Branch,"Ameer, Isbah",1905-1928,"""Great industries employing women were located in the Falls of Schulkill, and so the Germantown Association established in 1905 the Falls of Schuylkill Branch."" Carner. ""hanging conditions in the mills and neighborhood and a lack of cooperation by the churches in this section made it neccesary to discontinue the Branch in June 1928""",Landmark,"4052 Ridge Avenue, Philadelphia, PA 19129",40.00759801,-75.19073134,Carner,,,
marker_2,Camp Tinicum,"Ameer, Isbah",1925,"Bought by the association in 1925. ""The camp was used enthusiastically by all age groups in the summer, and enjoyed for brief periods even in winter. But because of the shortage of materials and transportation during the summers of World War I, it proved difficult to administer the camp, and in the following years the Camp was not sufficiently used by adults to warrant its continuation. In 1948, Camp Tinicum was reluctantly sold."" (Carner)",Landmark,"Tinicum Township, Pennsylvania",39.87481784,-75.3018824,Carner,,,
marker_42,Black Middle-Class Enclave,"Hirschberg, Katarina",1920,"West Duval Street was a Black middle class enclave in the 1920's. It was not only one of the �most desirable streets� (Felix, 1999, 100), and �very prestigious� (100), but also mixed race in a time when Germantown was segregated. Five Colored Branch leaders lived here: Olivia (Yancy) Taylor, Margaret Anderson, Lena Reed, Lillian Ransom and Carrie Fareira.",Other,"225 W Duval St, Philadelphia, PA 19144",40.04157001,-75.18541656,"Committed to their own: African American Women Leaders in the YWCA: The YWCA of Germantown, Philadelphia, Pennsylvania, 1870-1970 [Dissertation], Stephanie Yvette Felix, 1999 ",,,
marker_43,Traditional Black Enclave,"Hirschberg, Katarina",1920,"West Penn Street was a traditional Black enclave, but smaller than other enclaves in Germantown and clustered around the 200 block. It was in proximity white Germantown elite and three colored branch leaders lived here: Myrtle Foote, Mary Cowdery, and Pearl Nicholson.�",Other,"221 W Penn St, Philadelphia, PA 19144",40.02828702,-75.17439195,"Committed to their own: African American Women Leaders in the YWCA: The YWCA of Germantown, Philadelphia, Pennsylvania, 1870-1970 [Dissertation], Stephanie Yvette Felix, 1999 ",,,
marker_44,Black Middle-Class Enclave,"Hirschberg, Katarina",1920,"West Coulter Street was a black middle class enclave, smaller than the West Duval St. enclave and clustered on the 200 block. Two Colored Branch leaders, Lena (Hopson) Bailey, and Esther (Brown) Hutchinson, lived there. ",Other,"241 W Coulter St, Philadelphia, PA 19144",40.02840703,-75.17569839,"Committed to their own: African American Women Leaders in the YWCA: The YWCA of Germantown, Philadelphia, Pennsylvania, 1870-1970 [Dissertation], Stephanie Yvette Felix, 1999 ",,,
