objectid,parentid,filename,youtubeid,title,creator,interviewer,interviewee,date,description,publisher,subject,personal_name,geographic_subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,notes
arc_017,,https://digital.library.temple.edu/digital/api/singleitem/image/p16002coll2/131/default.jpg,,Portrait of Maggie Kuhn,Bacharach Photographers,,,Circa 1984,A portrait of Maggie Kuhn an activist and founder of Gray Panthers.,"Philadelphia, PA: Temple University Libraries",Political activists; Women; Gray Panthers,,"Philadelphia, Pa.",,,,"<a href=""https://digital.library.temple.edu/digital/collection/p16002coll2/id/131/rec/2""> Temple Digital Collection</a>",AGPZ201502000135,Image;StillImage,image/jp2,,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,https://digital.library.temple.edu/digital/api/singleitem/image/p16002coll2/131/default.jpg,,,"Image of Maggie Kuhn, with hands clasped beneath chin.",,
arc_018,,https://digital.library.temple.edu/digital/api/singleitem/image/p16002coll2/46/default.jpg,,Women training as part of the Business Office Culture program,"Shull Jr., H. Earle",,,Unknown,"A photograph capturing women as they work on improving their typing skills during the YWCA Business Office Culture initiative, potentially at the Southwest Belmont branch.","<a href=""https://digital.library.temple.edu/digital/collection/p16002coll2/search/searchterm/YWCA%20of%20Philadelphia/field/publis/mode/exact/conn/and""> YWCA of Philadelphia</a>",Women employees; Training; Young Women's Christian Association;,,"Philadelphia, Pa.",,,,"<a href=""https://digital.library.temple.edu/digital/collection/p16002coll2/id/46/rec/65""> Temple Digital Collection</a>",AWCAPX000026,Image;StillImage,image/jp2,,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,https://digital.library.temple.edu/digital/api/singleitem/image/p16002coll2/46/default.jpg,,,Image of women practicing their typing skills.,,
arc_019,,https://digital.library.temple.edu/digital/api/singleitem/image/p16002coll2/87/default.jpg,,An event at the Germantown YWCA,"Morselle, Joseph F.",,,Unknown,A photograph of women during a YWCA of Germantown event.,"<a href=""https://digital.library.temple.edu/digital/collection/p16002coll2/search/searchterm/YWCA%20of%20Germantown/field/publis/mode/exact/conn/and""> YWCA of Germantown</a>",Women; Community centers; Parties,,"Philadelphia, Pa.","5820 Germantown Ave, Philadelphia, PA 19144",40.036836,-75.176593,"<a href=""https://digital.library.temple.edu/digital/collection/p16002coll2/id/87/rec/2""> Temple Digital Collection</a>",AWCAPX000067,Image;StillImage,image/jp2,,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,https://digital.library.temple.edu/digital/api/singleitem/image/p16002coll2/87/default.jpg,,,Image of women socializing at a YWCA event.,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arc_021,,arc_021.jpg,,A photo of Maggie Kuhn (left) and Rennie Cohen (right),,,,1978-11-10,"Center For Older Adults 10th Anniversary Celebration, Photo 1",,Center in the Park,,,5820 Germantown Ave,,,Center in the Park Archives,,,,,,,,,,,,,
arc_022,,arc_022.jpg,,A photo of attendees at the Center for Older Adult's 10th anniversary celebration,,,,1978-11-10,"Center For Older Adults 10th Anniversary Celebration, Photo 2",,Center in the Park,,,5820 Germantown Ave,,,Center in the Park Archives,,Image,image/jpeg,,,,,/objects/arc_022.jpg,,,Image of four attendees at the Center for Older Adults' 10th anniversary celebration,,
arc_023,,arc_023.jpg,,A photo of five community members enjoying each others' company at the Center for Older Adults' 10th anniversary celebration,,,,1978-11-10,"Center For Older Adults 10th Anniversary Celebration, Photo 3",,Center in the Park,,,5820 Germantown Ave,,,Center in the Park Archives,,Image,image/jpeg,,,,,/objects/arc_023.jpg,,,Image of five community members present at the Center for Older Adults' 10th anniversary celebration.,,
arc_024,,arc_024.jpg,,A photo of two men in attendance at the Center for Older Adults' 10th anniversary celebration.,,,,1978-11-10,"Center For Older Adults 10th Anniversary Celebration, Photo 4",,Center in the Park,,,5820 Germantown Ave,,,Center in the Park Archives,,Image,image/jpeg,,,,,/objects/arc_024.jpg,,,Image of two male attendees with arms around each others' shoulders at the Center for Older Adults' 10th anniversary celebration.,,
arc_025,,arc_025.jpg,,Center in the Park and the YWCA Building,Ann Doley,,,2025,A view of the Germantown YWCA building (left) and the Center in the Park (right).,,Center in the Park,,,5820 Germantown Ave,,,Taken by Ann Marie Doley,,Image,image/jpeg,,,,,/objects/arc_025.jpg,,/objects/arc_025_thumb.jpg,Image showing the close proximity of the Center in the Park and Germantown YWCA buildings.,,
arc_026,,arc_026.jpeg,,Center in the Park Building,Ann Doley,,,,A photo of a man standing in front of the Center in the Park building in Vernon Park.,,Center in the Park,,,"Vernon Park, Philadelphia",,,Taken by Ann Marie Doley,,Image,image/jpeg,,,,image,/objects/arc_026.jpeg,,,"Image of a man standing in from of the Center in the Park building in Vernon Park, Philadelphia.",,
arc_027,,arc_027.jpg,,"Center For Older Adults 10th Anniversary Celebration, Photo 5",,,,1978-11-10,A photo of Kathryn Noonan (right) giving a speech next to Virginia Dreby at the Center for Older Adults' 10th anniversary celebration.,,Center in the Park,,,5820 Germantown Avenue,,,Center in the Park Archives,,Image,image/jpeg,,,,image,/objects/arc_027.jpg,,,Image of Kathryn Noonan (right) giving a speech next to Virginia Dreby at the Center for Older Adults' 10th anniversary celebration.,,
arc_028,,arc_028.jpg,,"Center For Older Adults 10th Anniversary Celebration, Photo 6",,,,1978-11-10,A photo of Regina Brunner Holmes giving a speech at the Center for Older Adults' 10th anniversary celebration.,,Center in the Park,,,5820 Germantown Avenue,,,Center in the Park Archives,,Image,image/jpeg,,,,image,/objects/arc_028.jpg,,,"Image of Regina Brunner Holmes (left) giving a speech at the Center for Older Adults' 10th anniversary celebration, next to Marjorie Farmer (middle).",,
arc_029,,arc_029.jpg,,Bus trip to court for hearing on future of YWCA building.,,,,2024,A selfie of Renée Cunningham (bottom right) and others on a bus heading to court to speak on a hearing for Act 135.,,Center in the Park,,,Philadelphia,,,Taken by Renée Cunningham,,Image,image/jpeg,,,,image,/objects/arc_029.jpg,,,Image of Renée Cunningham (bottom right) and others on a bus heading to court to speak on a hearing for Act 135.,,
arc_030,,arc_030.jpg,,Parent Cooperative Nursing School,,,,1973,"At the Parent Cooperative Nursing School, one woman looks at an object while another crouches nearby, turning to look back at a young child who observes the scene.",,Architecture,,,"5820 Germantown Ave, Philadelphia, PA 19144",,,Taken by Kathleen Pullan Watkins,,Image ,image/jpeg,eng,,,image,/objects/arc_030.jpg,,,Image of Parent Cooperative Nursery School at Germantown YWCA,,
arc_031,,arc_031.jpg,,Parent Cooperative Nursing School,,,,1973,A photograph of children sit together around a table at the Parent Cooperative Nursing School,,Architecture,,,"5820 Germantown Ave, Philadelphia, PA 19144",,,Taken by Kathleen Pullan Watkins,,Image ,image/jpeg,eng,,,image,/objects/arc_031.jpg,,,Image of Parent Cooperative Nursery School at Germantown YWCA,,
arc_032,,arc_032.jpg,,Activities at YWCA Gymnasium,,,,1986,A photograph of a group of girls posing for a photo in matching tracksuits inside the YWCA gymnasium.,,Architecture ,,,"5820 Germantown Ave, Philadelphia, PA 19144",,,Taken by Ann Marie Doley,,Image,image/jpeg,eng,,,image,/objects/arc_032.jpg,,,Girls Gymnastics Team at YWCA ,,
arc_033,,arc_033.jpg,,Activities at YWCA Gymnasium,,,,1986,A photograph of a group of girls balancing on a balance beam in matching tracksuits inside the YWCA gymnasium.,,Architecture,,,"5820 Germantown Ave, Philadelphia, PA 19144",,,Taken by Ann Marie Doley,,Image,image/jpeg,eng,,,image,/objects/arc_033.jpg,,,Children at the YWCA Gymnasium,,
arc_034,,arc_034.jpg,,YWCA Gymnasium View,,,,1872,Scan from Opening Week document,,Architecture,,,"5820 Germantown Ave, Philadelphia, PA 19144",,,Opening Week Document ,,Image,image/jpeg,eng,,,image,/objects/arc_034.jpg,,,View of the Gymnasium,,
arc_035,,arc_035.jpg,,Dance at The Y ,,,,1942-11-19,A scanned photograph of men and women dancing together at a YWCA dance event. ,,Architecture,,,"5820 Germantown Ave, Philadelphia, PA 19144",,,"Temple Digital Collections PC-89, Box 1--Folder--Dances",,Image,image/jpeg,eng,,,image,/objects/arc_035.jpg,,,Dancing at the YWCA,,
arc_036,,arc_036.jpg,,Rave at the Y,,,,2001,A scan of a photograph from a rave event at the YWCA.,,Architecture,,,"5820 Germantown Ave, Philadelphia, PA 19144",,,Taken by Lizzie Barry,,Image,image/jpeg,eng,,,image,/objects/arc_036.jpg,,,Rave music and dance at the YWCA,,
arc_037,,arc_037.jpg,,Performers getting ready at YWCA,,,,1987,A photograph of children performers sitting and preparing for an event at the YWCA.,,Architecture,,,"5820 Germantown Ave, Philadelphia, PA 19144",,,Taken by Ann Marie Doley,,Image,image/jpeg,eng,,,image,/objects/arc_037.jpg,,,Performers getting ready at YWCA stage,,
arc_038,,arc_038.jpg,,Stage Performance at YWCA,,,,1987,Photo,,Architecture,,,"5820 Germantown Ave, Philadelphia, PA 19144",,,Taken by Ann Marie Doley,,Image,image/jpeg,eng,,,image,/objects/arc_038.jpg,,,Performance in the auditorium,,
arc_039,,arc_039.jpg,,Performers getting ready at YWCA,,,,1987,Photo,,Architecture,,,"5820 Germantown Ave, Philadelphia, PA 19144",,,Taken by Ann Marie Doley,,Image,image/jpeg,eng,,,image,/objects/arc_039.jpg,,,Performers getting ready at YWCA stage,,
arc_040,,arc_040.jpg,,Photo of interior of the Germantown Y,,,,2012,Photo,,Preservation,,,5820 Germantown Ave,,,Taken by Vince Herbe,,image,image/jpeg,eng,,,image,/objects/arc_040.jpg,,/objects/arc_040_thumb.jpg,Photo of interior of the Germantown Y,,
arc_041,,arc_041.png,,Picture from Mt Airy Times,,,,1999-05-28,Scan of Newspaper,,Preservation,,,,,,,,Image,image/jpeg,eng,,,image,/objects/arc_041.png,,,"Scan of newspaper, ""A new Board ousts the old in attempt to save the YWCA""",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arc_060,arc_110,arc_060.jpg,,Questionnaire page 1,Germantown Branch YWCA,,,1944,Document/Survey,,Colored Branch; Integration,,,"Germantown, Philadlephia",,,"Box 24.27, Temple University Archives",,Image,image/jpeg,eng,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/arc_060.jpg,,/objects/arc_060_thumb.jpg,"Scan of an archive document containing a questionnaire about integration at the YWCA, page 1","<p>Questionnaire Used in B&amp;P Council</p>
<p>November 1944.</p>
<ol>
<li>Does the YWCA believe in no discrimination against Negroes?
 Yes – 14       No – 2       Don’t know – 1</li>
<li>Do you think the Germantown YWCA discriminates against Negroes?
 Administration:  Yes – 2       No – 13       Don’t know – 1
 Participants: Yes – 10       No – 4       Don’t know - 2</li>
<li>Have you ever worked on a project or a committee with Negro girls?
 Yes - 9       No - 6</li>
<li>If so, do you think it a success or failure?
 Success – 5       Failure - 2       Don&#39;t know - 2</li>
<li>Do you think there is any value in an occasional interracial project?
Yes – 12       No - 2       Don&#39;t know - 1</li>
<li>Do you think it practical for the club to plan a project together with girls at the Branch?
 Yes - 4       No - 12</li>
<li>Why?       Negative 12       Positive 3       Don&#39;t know – 1<ol>
<li>Would break down League membership</li>
<li>We would just have a meeting and that would be as far as it would go. Impractical.</li>
<li>Club too small to handle it.</li>
<li>Don&#39;t believe Branch girls are interested in same activities as we have.</li>
<li>Everyone might not be willing to cooperate.</li>
<li>&quot;Will not mix.&quot;</li>
<li>Neither aide is ready to cooperate - take it gradually.</li>
<li>Impractical - &quot;all people do not feel the same about the problem.&quot;</li>
<li>It is possible to work together and if the right type of project is used it could be a success.</li>
<li>Impractical - &quot;Previously we have not had much cooperation.&quot;</li>
<li>Afraid it would take a little education on our part.</li>
<li>Too many girls are prejudiced and are not able to act graciously.</li>
<li>&quot;Practical because it would tend to bring about cooperation end understanding and a better community feeling.&quot;</li>
<li>Don&#39;t think this type of meeting of any value to either group.</li>
<li>Practical &quot;because it would aid in learning to work together for necessary times.&quot;</li>
</ol>
</li>
<li>If such a project were planned would you be willing to cooperate?
 Yes - 11       No - 3       Possibly - 2</li>
<li>What are some of the problems or difficulties that arise in a joint project?<ol>
<li>Lack of mutual Interest.</li>
<li>Would have to overcome natural race hatred.</li>
<li>They have leas education. They don&#39;t see our point of view. Some think we are above them; others think we are beneath them.</li>
<li>People afraid to try a something new not knowing what other people will think.</li>
</ol>
</li>
</ol>",
arc_061,arc_110,arc_061.jpg,,Questionnaire page 2,Germantown Branch YWCA,,,1944,Document/Survey,,Colored Branch; Integration,,,"Germantown, Philadlephia",,,"Box 24.27, Temple University Archives",,Image,image/jpeg,eng,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/arc_061.jpg,,,"Scan of an archive document containing a questionnaire about integration at the YWCA, page 2","<ol start=""9"">
<li>cont.<ol>
<li>Ideas different. Too many things to consider. May be hard feelings. </li>
<li>Too much prejudice on both sides. Negroes held down so long they seem to resent interference.</li>
<li>Personal feelings.</li>
<li>People don&#39;t know what to talk about. Everyone is not willing to go out of their way to make other races feel at ease. Makes a strained situation.</li>
<li>People still too prejudiced.</li>
<li>Don&#39;t know.</li>
<li>Different social levels, real and imaginary.</li>
</ol>
</li>
<li>Do you think there is any connection between a project planned and executed by a mixed group of business girls and postwar peace?
Yes - 11       No - 0       Don&#39;t know - 3       Afraid So - 1       Heard so - 1</li>
<li><p>If a white girl and a Negro girl who have equal skills in typing and shorthand apply for the same job, who should be hired?
White - 8</p>
<p>Negro - 0</p>
<p>Girl with additional qualifications such as personality, good appearance, etc. - 4</p>
<p>Don&#39;t know - 2</p>
<p>Depends on policy of employer - 1</p>
</li>
<li>If a white girl with good training and no experience and a Negro girl with good training and 3 years experience should apply for the earn job, which should be hired?
White - 4       ​​Negro – 10​​       Either – 1</li>
<li>Do you think that your feelings about Negroes are based on:<ol>
<li>Personal knowledge – 5</li>
<li>Information from others – 1</li>
<li>Scientific Fact – 0
1 &amp; 2 – 3
1 &amp; 3 – 3
2 &amp; 3 – 2
1, 2 &amp; 3 – 1</li>
</ol>
</li>
<li>Do you think you are prejudiced against Negroes?
Yes – 7​​       No - 5       ​​A little – 4</li>
<li>Do you believe your attitudes are good enough so that you do not want to change then?
Yes - 9​​       No – 7</li>
<li>Does this YWCA have a policy regarding the facilities of the building for the use of Negroes?
Yes – 3​​       No - 1​       Don&#39;t know – 11​       Yes and No – 1</li>
<li>If so, what is it?<ol>
<li>No racial discrimination</li>
<li>No swimming in the pool</li>
<li>Does let them use pool</li>
<li>Negroes free to use facilities of building</li>
</ol>
</li>
</ol>
",
arc_062,,arc_062.jpg,,Letter regarding convention,Germantown Branch YWCA,,,1928-03-12,A document/letter addressed to Miss Bowles from the Executive Secretary regarding a convention.,,Colored Branch; Integration,,,"Germantown, Philadlephia",,,"Box 25.8, Temple University Archives",,Image,image/jpeg,eng,"This material is subject to copyright law and is made available for private study, scholarship, and research purposes only. For access to the original or a high resolution reproduction, and for permission to publish, please contact Temple University Libraries, Temple University Libraries, Special Collections Research Center, scrc@temple.edu, 215-204-8257.",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/arc_062.jpg,,/objects/arc_062_thumb.jpg,Scan of an archive letter regarding convention proceedings,"<p>Phyllis Wheatley Branch Y.W.C.A. March 12, 1928</p>
<p>Dear Miss Bowles:&nbsp;</p>
<p>I am enclosing our Branch report for the month of February. In reading over the National Board Report prior to the&nbsp;Sacramento&nbsp;Convention, which by the way, I find I am going to be able to attend, I have been much interested in noticing that so little is said of our Colored Work; even less, in fact, than in the&nbsp;Report to the Milwaukee&nbsp;Convention.</p>
<p>Also, in looking over the tentative program for the Convention sessions, there is no time devoted to our group. I realize perfectly that this exclusiveness is the ideal for which we should strive and that such an&nbsp;attitude&nbsp;has made it possible to go very far in race relations, further, perhaps, than some other organizations.&nbsp;Yet from&nbsp;a local standpoint, we are still working with colored women in Branches, and, perhaps, even for a few years longer there will be Branches; moreover, the whole field of race relations difficulty is not settled as is so often experienced when we feel that we have gone forward and instances of misunderstanding arise.</p>
<p>The whole problem of understanding seems to me so big that I wonder if it is not important enough to have some consideration on Convention Agenda. I realize, however, how tired we all become of race considered over and over, again as a problem just as we do of sex, than focussing attention on one phase. Nevertheless, the working of such a machinery as&nbsp;the&nbsp;Committee on Colored Work&nbsp;-&nbsp;which by the way, we do not have - is so much in the process of flux that, perhaps, some of us could at least gain help from a pooling of experiences and a statement of ideals of race relations.</p>
<p>Our place as an interracial organization in the community is another phase of the same question. Often it is forgotten that we are doing interracial work because we act rather than talk of our activities.</p>
<p>Then, finally, there is membership representation of our group. In other words, these three phases of our problem which I have mentioned, really all have to do with understanding between races. I should like to know if any other Branches feel as we do, the need for a place in the thinking of the Convention.</p>
<p>Hoping to hear from you soon, I am</p>
<p>Very truly yours,</p>
<p>Executive Secretary</p>",
